# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC linear_attn_out-6  ne=[2048,6] sum=0.24862 absum=18.79658 v0=-0.021430 v1=0.010116 v2=-0.009985
ORC linear_attn_out-6 (reshaped) ne=[2048,6] sum=0.24862 absum=18.79658 v0=-0.021430 v1=0.010116 v2=-0.009985
ORC ffn_moe_out-6      ne=[2048,6] sum=-0.41527 absum=15.74951 v0=0.002076 v1=-0.009259 v2=-0.002144
ORC ffn_out-6          ne=[2048,6] sum=-0.26273 absum=18.41999 v0=0.003465 v1=-0.011653 v2=-0.000330
ORC l_out-6            ne=[2048,6] sum=-0.92208 absum=58.55764 v0=0.043643 v1=0.023639 v2=0.009680
ORC attn_gated-7       ne=[4096,6] sum=-0.88954 absum=14.65028 v0=-0.000376 v1=0.000528 v2=-0.001013
ORC attn_output-7      ne=[2048,6] sum=-0.59697 absum=14.44883 v0=-0.017026 v1=0.006397 v2=-0.003957
ORC ffn_moe_out-7      ne=[2048,6] sum=0.60980 absum=14.16882 v0=-0.011743 v1=0.008558 v2=-0.003738
ORC ffn_out-7          ne=[2048,6] sum=1.39418 absum=17.97420 v0=-0.015052 v1=0.004215 v2=-0.010490
ORC l_out-7            ne=[2048,6] sum=-0.12487 absum=58.02415 v0=0.011565 v1=0.034251 v2=-0.004766
ORC conv_output_silu-8 ne=[8192,6] sum=63.48119 absum=450.38235 v0=0.000096 v1=0.011424 v2=-0.000172
ORC attn_output-8      ne=[128,32] sum=0.00001 absum=0.00048 v0=-0.000012 v1=0.000002 v2=0.000001
ORC final_output-8     ne=[4096,6] sum=0.65290 absum=21.06209 v0=-0.000349 v1=0.000877 v2=0.001533
ORC linear_attn_out-8  ne=[2048,6] sum=-0.71180 absum=16.12863 v0=-0.002494 v1=-0.012823 v2=-0.002623
ORC linear_attn_out-8 (reshaped) ne=[2048,6] sum=-0.71180 absum=16.12863 v0=-0.002494 v1=-0.012823 v2=-0.002623
ORC ffn_moe_out-8      ne=[2048,6] sum=0.24165 absum=16.41407 v0=-0.005050 v1=0.007453 v2=0.016029
ORC ffn_out-8          ne=[2048,6] sum=0.69278 absum=21.29559 v0=0.000786 v1=0.009115 v2=0.005487
ORC l_out-8            ne=[2048,6] sum=-0.14388 absum=63.24735 v0=0.009857 v1=0.030543 v2=-0.001903
ORC conv_output_silu-9 ne=[8192,6] sum=79.07340 absum=353.65696 v0=-0.005537 v1=0.025072 v2=0.000043
ORC attn_output-9      ne=[128,32] sum=0.02200 absum=0.02273 v0=0.000006 v1=-0.000008 v2=0.000008
ORC final_output-9     ne=[4096,6] sum=-1.33159 absum=27.20597 v0=0.000008 v1=0.003913 v2=-0.000170
ORC linear_attn_out-9  ne=[2048,6] sum=0.28725 absum=19.31068 v0=-0.039648 v1=0.006194 v2=-0.020999
ORC linear_attn_out-9 (reshaped) ne=[2048,6] sum=0.28725 absum=19.31068 v0=-0.039648 v1=0.006194 v2=-0.020999
ORC ffn_moe_out-9      ne=[2048,6] sum=0.08720 absum=14.92889 v0=0.006681 v1=0.000126 v2=-0.002474
ORC ffn_out-9          ne=[2048,6] sum=0.69669 absum=19.89958 v0=0.011735 v1=0.003555 v2=0.001934
ORC l_out-9            ne=[2048,6] sum=0.84006 absum=68.41242 v0=-0.018057 v1=0.040293 v2=-0.020969
ORC conv_output_silu-10 ne=[8192,6] sum=43.20304 absum=264.71249 v0=0.002734 v1=-0.024112 v2=0.243342
ORC attn_output-10     ne=[128,32] sum=0.00577 absum=0.00888 v0=-0.000006 v1=0.000023 v2=0.000004
ORC final_output-10    ne=[4096,6] sum=-0.02760 absum=32.11435 v0=0.003626 v1=0.002250 v2=-0.002376
ORC linear_attn_out-10 ne=[2048,6] sum=-0.37033 absum=21.79799 v0=-0.017490 v1=-0.018499 v2=-0.019697
ORC linear_attn_out-10 (reshaped) ne=[2048,6] sum=-0.37033 absum=21.79799 v0=-0.017490 v1=-0.018499 v2=-0.019697
ORC ffn_moe_out-10     ne=[2048,6] sum=-0.86773 absum=15.93413 v0=-0.006846 v1=-0.008593 v2=-0.005464
ORC ffn_out-10         ne=[2048,6] sum=-0.49771 absum=20.47464 v0=0.000178 v1=-0.013783 v2=0.001342
